0.9630455364	hard drive
0.9612622031	power cord
0.9596038697	video card
0.9320050602	wi fi
0.9227550602	power supply
0.9175538697	usb ports
0.9154800602	customer service
0.9042754509	graphics card
0.8976788697	display port
0.8767323607	win 10
0.8631529956	windows 10
0.8563851385	windows 7
0.8433919192	low profile
0.8065440213	product key
0.7646699675	keyboard and mouse
0.7571879509	highly recommend
0.7044474401	brand new
0.6962113289	wouldn t
0.6933851385	operating system
0.6904613289	haven t
0.6857807734	doesn t
0.6823146118	1050 ti
0.6817326659	mouse and keyboard
0.6760479895	easy setup
0.6721113289	wasn t
0.6712523546	won t
0.6577391067	don t
0.6543304570	works great
0.6482809928	business
0.6474064155	purchased
0.6470583062	wifi
0.6458327648	wireless
0.6455053055	problem
0.6453407133	port
0.6443431885	microsoft
0.6442842382	needed
0.6442790834	received
0.6441882036	cable
0.6441255454	ram
0.6439190213	couldn t
0.6434990264	money
0.6431690213	isn t
0.6420427774	company
0.6406271287	home
0.6405155245	tower
0.6404995234	unit
0.6389112963	basic
0.6385016418	case
0.6367292014	games
0.6356063145	i d
0.6354876815	key
0.6351918166	play
0.6350430151	update
0.6346559968	condition
0.6341582436	support
0.6340281153	usb
0.6315111448	runs
0.6306035161	slow
0.6305544924	internet
0.6286444971	packaged
0.6283834997	amazon
0.6269055995	recommend
0.6268946278	run
0.6268658737	clean
0.6260957452	hp
0.6256598134	adapter
0.6252975130	small
0.6251741807	setup
0.6251717496	graphics
0.6249884657	didn t
0.6247231105	keyboard
0.6244885660	worth
0.6235200469	seller
0.6227704722	ordered
0.6220306799	nice
0.6213483400	pci
0.6212966682	inside
0.6212290075	service
0.6196421543	quality
0.6195952525	advertised
0.6193403778	fine
0.6191434675	issues
0.6189204626	screen
0.6178165027	message
0.6167976338	card
0.6161808644	install
0.6159928804	dvd
0.6153090171	bought
0.6146896313	love
0.6141315802	perfectly
0.6140376565	ssd
0.6134999464	media
0.6129583156	sound
0.6124879713	software
0.6124261839	shipping
0.6120262733	streaming
0.6116702588	deal
0.6116585356	video
0.6110271104	windows 10 pro
0.6103735847	gtx 1050
0.6093946452	power
0.6088802496	office
0.6082517527	thing
0.6073255963	drive
0.6072743326	easy to set
0.6064928151	blue
0.6058036707	box
0.6048806818	wifi adapter
0.6046712753	pretty
0.6046207096	cost
0.6042842642	star
0.6018061331	disappointed
0.5998484760	problems
0.5989815721	stop
0.5987204878	word
0.5984303594	set
0.5979935580	error
0.5978091006	certified refurbished
0.5970717955	bit
0.5968640275	solid
0.5960160535	disk
0.5960111381	drives
0.5959669629	computers
0.5949968149	happy
0.5949577486	touch
0.5946292485	four stars
0.5941281371	cd
0.5936004004	memory
0.5932981090	big
0.5932981090	processor
0.5928775410	systems
0.5922064739	mouse
0.5921617591	dell
0.5919625819	three stars
0.5904838084	gtx
0.5903672128	server
0.5903490665	pro
0.5895653402	read
0.5894584708	online
0.5888020039	quickly
0.5882969592	arrived
0.5878072270	core
0.5872341462	certified
0.5863247547	easy
0.5854008185	high
0.5849278180	fixed
0.5843214266	add
0.5831370827	pleased
0.5819974841	web
0.5815969071	expected
0.5811435243	windows
0.5807901796	hard
0.5794962287	connect
0.5779729810	low
0.5777302813	return
0.5777262660	built
0.5774576702	satisfied
0.5744405144	buy
0.5743435919	faster
0.5725192417	product
0.5720418404	machine
0.5718697685	highly
0.5718697685	shape
0.5707160290	customer
0.5687654443	ready
0.5669083001	pc
0.5649912129	ports
0.5647804854	cord
0.5633763060	stars
0.5631651313	turn
0.5623421354	price
0.5622971521	fan
0.5616309324	brand
0.5581337085	purchase
0.5566631956	refurbished
0.5545090081	perfect
0.5537665747	win
0.5535975025	five stars
0.5491119757	month
0.5479449055	form
0.5469293182	monitor
0.5442164877	couple of
0.5436926445	wanted
0.5423030581	one star
0.5421152988	desktop
0.5418162494	working
0.5401579530	worked
0.5382247409	pay
0.5379874015	less than
0.5366178268	excellent
0.5364757350	replace
0.5363923073	ve
0.5353447247	5 stars
0.5309038038	ll
0.5296163383	guess
0.5280586995	great
0.5279740198	works
0.5250930064	plenty
0.5250416427	cover
0.5250416427	microbee
0.5250416427	fantastic
0.5240694217	copy
0.5236565032	thought
0.5203164658	fast
0.5200532204	great buy
0.5179118846	complaints
0.5177562913	pcie
0.5126686406	display
0.5124892025	week
0.5100270259	lot
0.5088265459	won
0.5074301699	test
0.5074301699	powerful
0.5074301699	rating
0.5074301699	minecraft
0.5074301699	large
0.5074301699	including
0.5074301699	items
0.5074301699	dirty
0.5049589345	checked
0.5048965743	so far so good
0.5028886039	promised
0.5028886039	reading
0.5028886039	glad
0.5028886039	products
0.5028886039	affordable
0.5028886039	license
0.5028886039	makes
0.5028886039	provided
0.5028886039	takes
0.5028407624	contacted
0.5028407624	model
0.5028407624	wear
0.5028407624	settings
0.5024192197	faster than
0.5015172109	bios
0.5013542592	professional
0.5013542592	output
0.5013542592	room
0.5013542592	real
0.5013542592	mom
0.5013542592	vendor
0.5013542592	heavy
0.5013542592	smoothly
0.5013542592	cheaper
0.5013542592	music
0.5013542592	slower
0.5013542592	left
0.5013542592	answer
0.5013542592	stopped
0.5013542592	point
0.5013542592	loud
0.4988451504	user
0.4988451504	register
0.4988451504	device
0.4980672415	operating
0.4977814620	download
0.4977814620	noise
0.4973964839	ahead
0.4971779040	works fine
0.4962631658	wife
0.4953385330	activate
0.4953385330	tech
0.4953385330	school
0.4953385330	functions
0.4953385330	extra
0.4953385330	hope
0.4953385330	person
0.4953385330	complete
0.4953385330	fit
0.4945946842	machines
0.4937517713	surprised
0.4937517713	absolutely
0.4937517713	os
